x,y,z
373487.47,4142247.8,1296.16
373497.75,4142166.2,1281.22
373497.2,4142158.2,1278.87
373486.56,4142237.5,1290.96
373478.66,4142313.5,1320.11
373473.28,4142383.0,1361.55
373459.28,4142463.0,1362.74
373450.56,4142508.2,1362.11
373465.34,4142425.0,1362.3
373474.3,4142353.0,1340.65
373481.25,4142280.2,1308.52
373489.12,4142203.2,1280.3
373499.62,4142133.5,1278.73
373488.6,4142194.8,1278.23
373480.25,4142272.8,1305.9
373472.6,4142346.5,1336.56
373463.9,4142418.8,1362.35
373449.34,4142500.8,1364.39
373454.03,4142470.8,1362.76
373468.1,4142390.5,1362.0
373473.72,4142321.2,1322.79
373481.56,4142246.2,1294.02
373490.2,4142174.5,1276.4
373492.03,4142156.0,1278.48
373481.6,4142226.8,1284.78
373473.38,4142303.2,1314.18
373468.9,4142371.2,1361.01
373454.94,4142450.5,1362.8
373441.47,4142518.5,1359.8
373457.28,4142433.8,1362.67
373467.66,4142360.0,1346.27
373473.94,4142288.8,1308.98
373482.28,4142212.0,1281.84
373493.12,4142143.8,1281.95
373484.6,4142185.2,1278.63
373474.97,4142263.8,1300.36
373466.9,4142338.2,1330.81
373459.16,4142409.0,1362.44
373444.12,4142491.0,1363.24
373446.84,4142473.5,1363.0
373461.25,4142393.0,1362.3
373467.2,4142324.2,1323.31
373475.2,4142249.2,1293.94
373485.56,4142170.2,1278.11
373485.34,4142163.2,1278.15
373474.12,4142242.8,1290.86
373465.44,4142318.5,1318.93
373459.9,4142387.2,1362.18
373445.16,4142467.8,1362.95
373438.97,4142497.2,1362.18
373454.22,4142414.8,1362.78
373462.34,4142344.0,1334.14
373469.8,4142270.8,1301.46
373479.16,4142192.8,1278.52
373486.34,4142143.5,1281.4
373473.6,4142220.5,1281.54
373464.7,4142297.5,1309.52
373458.5,4142368.2,1350.91
373446.38,4142444.0,1363.12
373428.6,4142525.5,1350.65
373447.12,4142436.5,1363.22
373458.0,4142362.2,1346.61
